hospital,demand,seed,variant,public_p90_s,bed_p90_s,public_mean_s,bed_mean_s,public_count,bed_count,trips,utilization_pct,clearance_min
dushu,1,179,b,76.17586918653569,580.211257721865,42.479182146407474,205.6358553496933,1066,71,727,91.34041959627321,5.464108386874219
dushu,1,223,a,81.18258174152184,104.91415049845045,43.27169937257814,68.11929109164198,1054,70,759,96.92712194673545,3.0815986741506096
dushu,1,223,b,75.68537640224359,199.47416719553354,40.77634741591213,96.63300597914397,1054,70,723,91.46345398245235,4.402189713971529
dushu,1,269,a,87.12441374029449,120.23655950302977,43.167155464921755,69.82428918968354,1042,82,743,96.69813844302803,2.0159851882695268
dushu,1,269,b,73.5787066879825,563.9317858397136,41.348305634333485,280.36688439906345,1042,82,737,94.23158874565584,6.9911308949925415
dushu,1,317,a,87.11695658555874,112.54164523846771,42.82047384347073,70.89091796352372,1054,76,748,96.76360779608835,2.7614811273181052
dushu,1,317,b,76.8310870370448,717.2232407826177,42.094485175158454,325.73896878279083,1054,76,734,91.41612703574147,13.367781136220067
dushu,1,373,a,81.1735050229172,104.77131940349719,40.351652889487994,64.83899942112116,1021,74,751,96.51740844320318,2.098775690302955
dushu,1,373,b,75.83995661167864,275.1291319010135,41.75416117483083,154.4563217876793,1021,74,731,92.80557448395405,3.365581425647967
dushu,1,431,a,78.5051176156334,100.58393533045091,42.048561336659176,65.37477122130402,1050,71,765,97.91944821699907,1.8823552040841605
dushu,1,431,b,75.61974119015669,389.884167014412,41.522617895028226,171.3040217907847,1050,71,726,91.80217725017431,1.619071613430818
dushu,1.4,13,a,108.35891189524918,143.4529291220711,55.644924687158436,92.88986879656363,1538,93,759,99.92235232918678,2.7596925327570716
dushu,1.4,13,b,91.10201885067345,677.5760801170479,51.209238089170846,343.05121627737583,1538,93,768,97.81625830060344,14.086006932826361
dushu,1.4,29,a,105.3725643705061,154.72719647773138,56.90555223062439,99.701858669379,1501,99,742,99.93895228337276,1.9448211129529227
dushu,1.4,29,b,97.8652101773132,808.9145741428615,55.28990114833289,464.8099758360083,1501,99,773,98.66712243446489,19.75941027262388
dushu,1.4,47,a,134.72110338809216,190.21937645339264,68.37427807327727,123.1248554507678,1511,125,704,99.82402527598887,3.6602432732305714
dushu,1.4,47,b,83.63583467957505,3186.1620238370006,46.140342252643414,1751.8763473708118,1511,125,798,99.57492964406818,62.336409835769885
dushu,1.4,71,a,115.90590037503755,166.19433087537547,60.25550112928509,109.87592253898933,1519,92,750,99.82167199477901,1.6712358222279968
dushu,1.4,71,b,93.6849482839959,1434.0862128123874,53.18673423839003,605.803279133925,1519,92,760,97.8485654896992,7.873813694478516
dushu,1.4,101,a,97.08233405562149,148.20594613919897,53.45319416590006,99.27928128670398,1533,85,763,99.92110601792413,1.2840208361155723
dushu,1.4,101,b,90.82387272045534,628.4465328075808,52.61696787210785,318.1434700611836,1533,85,755,97.03015354600029,1.9712672085751668
dushu,1.4,137,a,96.45577684631277,135.5353089560475,52.72232097028401,94.07523823519328,1502,78,769,99.84779751990582,1.7412716098417755
dushu,1.4,137,b,88.4283065981309,440.8970384341266,49.891406335606376,206.88591264720336,1502,78,746,95.90177799333473,1.3268817748677368
dushu,1.4,179,a,104.4865818484936,149.7777955288293,57.018727235236824,100.64489872218905,1500,101,740,99.81672590769075,2.108445716431743
dushu,1.4,179,b,83.52408810615938,1299.2673845114787,47.79182978209816,675.8527234113097,1500,101,770,99.19130210764474,20.079195397361552
dushu,1.4,223,a,107.07440536757377,147.0719884939408,57.08382231138333,103.07130413628727,1495,91,759,99.58377275403046,2.3859114822706338
